id,region,land,group,vote_type,count_type,votes,land_str
2,Nordfriesland – Dithmarschen Nord,1,christlichdemokratischeuniondeutschlands,erststimmen,vorperiode,64678,Schleswig-Holstein
2,Nordfriesland – Dithmarschen Nord,1,christlichdemokratischeuniondeutschlands,zweitstimmen,endgueltig,52928,Schleswig-Holstein
2,Nordfriesland – Dithmarschen Nord,1,christlichdemokratischeuniondeutschlands,zweitstimmen,vorperiode,56383,Schleswig-Holstein
2,Nordfriesland – Dithmarschen Nord,1,sozialdemokratischeparteideutschlands,erststimmen,endgueltig,34685,Schleswig-Holstein
2,Nordfriesland – Dithmarschen Nord,1,sozialdemokratischeparteideutschlands,erststimmen,vorperiode,41714,Schleswig-Holstein
2,Nordfriesland – Dithmarschen Nord,1,sozialdemokratischeparteideutschlands,zweitstimmen,endgueltig,31120,Schleswig-Holstein
2,Nordfriesland – Dithmarschen Nord,1,sozialdemokratischeparteideutschlands,zweitstimmen,vorperiode,38590,Schleswig-Holstein
2,Nordfriesland – Dithmarschen Nord,1,dielinke,erststimmen,endgueltig,7102,Schleswig-Holstein
2,Nordfriesland – Dithmarschen Nord,1,dielinke,erststimmen,vorperiode,4653,Schleswig-Holstein
2,Nordfriesland – Dithmarschen Nord,1,dielinke,zweitstimmen,endgueltig,8589,Schleswig-Holstein
2,Nordfriesland – Dithmarschen Nord,1,dielinke,zweitstimmen,vorperiode,5733,Schleswig-Holstein
2,Nordfriesland – Dithmarschen Nord,1,bündnis90/diegrünen,erststimmen,endgueltig,13026,Schleswig-Holstein
2,Nordfriesland – Dithmarschen Nord,1,bündnis90/diegrünen,erststimmen,vorperiode,8465,Schleswig-Holstein
2,Nordfriesland – Dithmarschen Nord,1,bündnis90/diegrünen,zweitstimmen,endgueltig,15144,Schleswig-Holstein
2,Nordfriesland – Dithmarschen Nord,1,bündnis90/diegrünen,zweitstimmen,vorperiode,10547,Schleswig-Holstein
2,Nordfriesland – Dithmarschen Nord,1,freiedemokratischepartei,erststimmen,endgueltig,11105,Schleswig-Holstein
2,Nordfriesland – Dithmarschen Nord,1,freiedemokratischepartei,erststimmen,vorperiode,3172,Schleswig-Holstein
2,Nordfriesland – Dithmarschen Nord,1,freiedemokratischepartei,zweitstimmen,endgueltig,18050,Schleswig-Holstein
2,Nordfriesland – Dithmarschen Nord,1,freiedemokratischepartei,zweitstimmen,vorperiode,8321,Schleswig-Holstein
2,Nordfriesland – Dithmarschen Nord,1,alternativefuerdeutschland,erststimmen,endgueltig,8117,Schleswig-Holstein
2,Nordfriesland – Dithmarschen Nord,1,alternativefuerdeutschland,erststimmen,vorperiode,3973,Schleswig-Holstein
2,Nordfriesland – Dithmarschen Nord,1,alternativefuerdeutschland,zweitstimmen,endgueltig,9030,Schleswig-Holstein
2,Nordfriesland – Dithmarschen Nord,1,alternativefuerdeutschland,zweitstimmen,vorperiode,4994,Schleswig-Holstein
2,Nordfriesland – Dithmarschen Nord,1,piratenparteideutschland,erststimmen,vorperiode,2467,Schleswig-Holstein
2,Nordfriesland – Dithmarschen Nord,1,piratenparteideutschland,zweitstimmen,vorperiode,2413,Schleswig-Holstein
2,Nordfriesland – Dithmarschen Nord,1,nationaldemokratischeparteideutschlands,erststimmen,vorperiode,757,Schleswig-Holstein
2,Nordfriesland – Dithmarschen Nord,1,nationaldemokratischeparteideutschlands,zweitstimmen,endgueltig,301,Schleswig-Holstein
2,Nordfriesland – Dithmarschen Nord,1,nationaldemokratischeparteideutschlands,zweitstimmen,vorperiode,733,Schleswig-Holstein
2,Nordfriesland – Dithmarschen Nord,1,freiewähler,erststimmen,endgueltig,1606,Schleswig-Holstein
2,Nordfriesland – Dithmarschen Nord,1,freiewähler,zweitstimmen,endgueltig,867,Schleswig-Holstein
2,Nordfriesland – Dithmarschen Nord,1,freiewähler,zweitstimmen,vorperiode,755,Schleswig-Holstein
2,Nordfriesland – Dithmarschen Nord,1,parteimenschumwelttierschutz,zweitstimmen,vorperiode,969,Schleswig-Holstein
2,Nordfriesland – Dithmarschen Nord,1,ökologisch.demokratischepartei,zweitstimmen,endgueltig,173,Schleswig-Holstein
2,Nordfriesland – Dithmarschen Nord,1,parteifuerarbeit.rechtsstaat.tierschutz.elitenfoerderungundbasisdemokratischeinitiative,zweitstimmen,endgueltig,1376,Schleswig-Holstein
2,Nordfriesland – Dithmarschen Nord,1,marxistisch.leninistischeparteideutschlands,zweitstimmen,endgueltig,63,Schleswig-Holstein
2,Nordfriesland – Dithmarschen Nord,1,marxistisch.leninistischeparteideutschlands,zweitstimmen,vorperiode,45,Schleswig-Holstein
2,Nordfriesland – Dithmarschen Nord,1,buendnisgrundeinkommen,zweitstimmen,endgueltig,430,Schleswig-Holstein
2,Nordfriesland – Dithmarschen Nord,1,übrige,zweitstimmen,vorperiode,561,Schleswig-Holstein
3,Steinburg – Dithmarschen Süd,1,wahlberechtigte,erststimmen,endgueltig,176636,Schleswig-Holstein
3,Steinburg – Dithmarschen Süd,1,wahlberechtigte,erststimmen,vorperiode,176731,Schleswig-Holstein
3,Steinburg – Dithmarschen Süd,1,wahlberechtigte,zweitstimmen,endgueltig,176636,Schleswig-Holstein
3,Steinburg – Dithmarschen Süd,1,wahlberechtigte,zweitstimmen,vorperiode,176731,Schleswig-Holstein
3,Steinburg – Dithmarschen Süd,1,waehler,erststimmen,endgueltig,132017,Schleswig-Holstein
3,Steinburg – Dithmarschen Süd,1,waehler,erststimmen,vorperiode,126409,Schleswig-Holstein
3,Steinburg – Dithmarschen Süd,1,waehler,zweitstimmen,endgueltig,132017,Schleswig-Holstein
3,Steinburg – Dithmarschen Süd,1,waehler,zweitstimmen,vorperiode,126409,Schleswig-Holstein
3,Steinburg – Dithmarschen Süd,1,ungueltige,erststimmen,endgueltig,1134,Schleswig-Holstein
3,Steinburg – Dithmarschen Süd,1,ungueltige,erststimmen,vorperiode,1523,Schleswig-Holstein
3,Steinburg – Dithmarschen Süd,1,ungueltige,zweitstimmen,endgueltig,1139,Schleswig-Holstein
3,Steinburg – Dithmarschen Süd,1,ungueltige,zweitstimmen,vorperiode,1451,Schleswig-Holstein
3,Steinburg – Dithmarschen Süd,1,gueltige,erststimmen,endgueltig,130883,Schleswig-Holstein
3,Steinburg – Dithmarschen Süd,1,gueltige,erststimmen,vorperiode,124886,Schleswig-Holstein
3,Steinburg – Dithmarschen Süd,1,gueltige,zweitstimmen,endgueltig,130878,Schleswig-Holstein
3,Steinburg – Dithmarschen Süd,1,gueltige,zweitstimmen,vorperiode,124958,Schleswig-Holstein
3,Steinburg – Dithmarschen Süd,1,christlichdemokratischeuniondeutschlands,erststimmen,endgueltig,54812,Schleswig-Holstein
3,Steinburg – Dithmarschen Süd,1,christlichdemokratischeuniondeutschlands,erststimmen,vorperiode,56669,Schleswig-Holstein
3,Steinburg – Dithmarschen Süd,1,christlichdemokratischeuniondeutschlands,zweitstimmen,endgueltig,47366,Schleswig-Holstein
3,Steinburg – Dithmarschen Süd,1,christlichdemokratischeuniondeutschlands,zweitstimmen,vorperiode,52408,Schleswig-Holstein
3,Steinburg – Dithmarschen Süd,1,sozialdemokratischeparteideutschlands,erststimmen,endgueltig,34219,Schleswig-Holstein
3,Steinburg – Dithmarschen Süd,1,sozialdemokratischeparteideutschlands,erststimmen,vorperiode,42476,Schleswig-Holstein
3,Steinburg – Dithmarschen Süd,1,sozialdemokratischeparteideutschlands,zweitstimmen,endgueltig,29756,Schleswig-Holstein
3,Steinburg – Dithmarschen Süd,1,sozialdemokratischeparteideutschlands,zweitstimmen,vorperiode,37502,Schleswig-Holstein
3,Steinburg – Dithmarschen Süd,1,dielinke,erststimmen,endgueltig,7176,Schleswig-Holstein
3,Steinburg – Dithmarschen Süd,1,dielinke,erststimmen,vorperiode,4909,Schleswig-Holstein
3,Steinburg – Dithmarschen Süd,1,dielinke,zweitstimmen,endgueltig,8732,Schleswig-Holstein
3,Steinburg – Dithmarschen Süd,1,dielinke,zweitstimmen,vorperiode,6286,Schleswig-Holstein
3,Steinburg – Dithmarschen Süd,1,bündnis90/diegrünen,erststimmen,endgueltig,8791,Schleswig-Holstein
3,Steinburg – Dithmarschen Süd,1,bündnis90/diegrünen,erststimmen,vorperiode,6386,Schleswig-Holstein
3,Steinburg – Dithmarschen Süd,1,bündnis90/diegrünen,zweitstimmen,endgueltig,12960,Schleswig-Holstein
3,Steinburg – Dithmarschen Süd,1,bündnis90/diegrünen,zweitstimmen,vorperiode,9485,Schleswig-Holstein
3,Steinburg – Dithmarschen Süd,1,freiedemokratischepartei,erststimmen,endgueltig,14440,Schleswig-Holstein
3,Steinburg – Dithmarschen Süd,1,freiedemokratischepartei,erststimmen,vorperiode,6324,Schleswig-Holstein
3,Steinburg – Dithmarschen Süd,1,freiedemokratischepartei,zweitstimmen,endgueltig,17298,Schleswig-Holstein
3,Steinburg – Dithmarschen Süd,1,freiedemokratischepartei,zweitstimmen,vorperiode,7689,Schleswig-Holstein
3,Steinburg – Dithmarschen Süd,1,alternativefuerdeutschland,erststimmen,endgueltig,10006,Schleswig-Holstein
3,Steinburg – Dithmarschen Süd,1,alternativefuerdeutschland,erststimmen,vorperiode,4468,Schleswig-Holstein
3,Steinburg – Dithmarschen Süd,1,alternativefuerdeutschland,zweitstimmen,endgueltig,11180,Schleswig-Holstein
3,Steinburg – Dithmarschen Süd,1,alternativefuerdeutschland,zweitstimmen,vorperiode,5492,Schleswig-Holstein
3,Steinburg – Dithmarschen Süd,1,piratenparteideutschland,erststimmen,vorperiode,2674,Schleswig-Holstein
3,Steinburg – Dithmarschen Süd,1,piratenparteideutschland,zweitstimmen,vorperiode,2709,Schleswig-Holstein
3,Steinburg – Dithmarschen Süd,1,nationaldemokratischeparteideutschlands,erststimmen,vorperiode,980,Schleswig-Holstein
3,Steinburg – Dithmarschen Süd,1,nationaldemokratischeparteideutschlands,zweitstimmen,endgueltig,471,Schleswig-Holstein
3,Steinburg – Dithmarschen Süd,1,nationaldemokratischeparteideutschlands,zweitstimmen,vorperiode,1038,Schleswig-Holstein
3,Steinburg – Dithmarschen Süd,1,freiewähler,erststimmen,endgueltig,1278,Schleswig-Holstein
3,Steinburg – Dithmarschen Süd,1,freiewähler,zweitstimmen,endgueltig,1002,Schleswig-Holstein
3,Steinburg – Dithmarschen Süd,1,freiewähler,zweitstimmen,vorperiode,869,Schleswig-Holstein
3,Steinburg – Dithmarschen Süd,1,parteimenschumwelttierschutz,zweitstimmen,vorperiode,930,Schleswig-Holstein
3,Steinburg – Dithmarschen Süd,1,ökologisch.demokratischepartei,zweitstimmen,endgueltig,191,Schleswig-Holstein
3,Steinburg – Dithmarschen Süd,1,parteifuerarbeit.rechtsstaat.tierschutz.elitenfoerderungundbasisdemokratischeinitiative,zweitstimmen,endgueltig,1445,Schleswig-Holstein
3,Steinburg – Dithmarschen Süd,1,marxistisch.leninistischeparteideutschlands,erststimmen,endgueltig,161,Schleswig-Holstein
3,Steinburg – Dithmarschen Süd,1,marxistisch.leninistischeparteideutschlands,zweitstimmen,endgueltig,62,Schleswig-Holstein
3,Steinburg – Dithmarschen Süd,1,marxistisch.leninistischeparteideutschlands,zweitstimmen,vorperiode,34,Schleswig-Holstein
